archetypeName,url,common,uncommon,rare,strength,dexterity,constitution,wisdom,intelligence,charisma,alchemy,anythingLore,arcane,armorFamiliarity,divine,exploration,focusSpells,freeCounsumables,infiniteHealing,innate,metastrike,minion,multiclass,occult,prepared,primal,reaction,resistance,skillScaling,skillFeats,spontaneous,stance,unarmed,weaponFamiliarity
Acrobat,https://2e.aonprd.com/Archetypes.aspx?ID=236,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,TRUE,TRUE,FALSE,,,
Alchemist,https://2e.aonprd.com/Archetypes.aspx?ID=228,TRUE,,,,,,,TRUE,,TRUE,,,,,,,TRUE,,,FALSE,,TRUE,,FALSE,,,,,,,,,
Aldori Duelist,https://2e.aonprd.com/Archetypes.aspx?ID=324,FALSE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,FALSE,TRUE,,,,FALSE,,TRUE,,,TRUE,FALSE,TRUE,,TRUE
Alkenstar Agent,https://2e.aonprd.com/Archetypes.aspx?ID=183,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,
Alter Ego,https://2e.aonprd.com/Archetypes.aspx?ID=344,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,,
Animal Trainer,https://2e.aonprd.com/Archetypes.aspx?ID=38,FALSE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
Animist,https://2e.aonprd.com/Archetypes.aspx?ID=280,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,,,
Archaeologist,https://2e.aonprd.com/Archetypes.aspx?ID=237,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,
Archer,https://2e.aonprd.com/Archetypes.aspx?ID=238,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,TRUE
Artillerist,https://2e.aonprd.com/Archetypes.aspx?ID=115,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
Assassin,https://2e.aonprd.com/Archetypes.aspx?ID=239,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,
Barbarian,https://2e.aonprd.com/Archetypes.aspx?ID=229,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,
Bard,https://2e.aonprd.com/Archetypes.aspx?ID=211,TRUE,,,,FALSE,,,,TRUE,,TRUE,,,,,,,TRUE,,FALSE,,TRUE,,,,,,,,TRUE,,,
Bastion,https://2e.aonprd.com/Archetypes.aspx?ID=240,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,
Beast Gunner,https://2e.aonprd.com/Archetypes.aspx?ID=116,FALSE,TRUE,,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,
Beastmaster,https://2e.aonprd.com/Archetypes.aspx?ID=241,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,TRUE,,,TRUE,,,,TRUE,,,,,,,,
Bellflower Tiller,https://2e.aonprd.com/Archetypes.aspx?ID=23,FALSE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Blackjacket,https://2e.aonprd.com/Archetypes.aspx?ID=316,FALSE,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,
Blessed One,https://2e.aonprd.com/Archetypes.aspx?ID=242,TRUE,,,,,,,,TRUE,,,,,TRUE,,TRUE,,TRUE,,,,,,,,TRUE,,,,,,,
Bounty Hunter,https://2e.aonprd.com/Archetypes.aspx?ID=243,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
Bright Lion,https://2e.aonprd.com/Archetypes.aspx?ID=129,FALSE,TRUE,,,,,,,TRUE,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,TRUE
Bullet Dancer,https://2e.aonprd.com/Archetypes.aspx?ID=117,FALSE,TRUE,,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,TRUE,,,TRUE,,,,,,,,TRUE,,
Butterfly Blade,https://2e.aonprd.com/Archetypes.aspx?ID=91,FALSE,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,TRUE
Campfire Chronicler,https://2e.aonprd.com/Archetypes.aspx?ID=300,FALSE,TRUE,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,
Captain,https://2e.aonprd.com/Archetypes.aspx?ID=332,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,
Captivator,https://2e.aonprd.com/Archetypes.aspx?ID=125,TRUE,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,
Cathartic Mage,https://2e.aonprd.com/Archetypes.aspx?ID=97,FALSE,TRUE,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,,TRUE,,,
Cavalier,https://2e.aonprd.com/Archetypes.aspx?ID=244,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,,,,
Celebrity,https://2e.aonprd.com/Archetypes.aspx?ID=245,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,TRUE,,,,
Champion,https://2e.aonprd.com/Archetypes.aspx?ID=230,TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,
Chronoskimmer,https://2e.aonprd.com/Archetypes.aspx?ID=349,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,
Clawdancer,https://2e.aonprd.com/Archetypes.aspx?ID=221,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,TRUE,TRUE,
Cleric,https://2e.aonprd.com/Archetypes.aspx?ID=212,TRUE,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,
Clockwork Reanimator,https://2e.aonprd.com/Archetypes.aspx?ID=184,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,
Commander,https://2e.aonprd.com/Archetypes.aspx?ID=322,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Corpse Tender,https://2e.aonprd.com/Archetypes.aspx?ID=196,FALSE,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,
Crossbow Infiltrator,https://2e.aonprd.com/Archetypes.aspx?ID=325,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE
Crystal Keeper,https://2e.aonprd.com/Archetypes.aspx?ID=34,FALSE,FALSE,TRUE,,,,,TRUE,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,
Cultivator,https://2e.aonprd.com/Archetypes.aspx?ID=278,FALSE,FALSE,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,
Curse Maelstrom,https://2e.aonprd.com/Archetypes.aspx?ID=347,FALSE,FALSE,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,
Dandy,https://2e.aonprd.com/Archetypes.aspx?ID=246,TRUE,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,TRUE,,,,
